Specify Item No,Specify Name of Goods,Specify Detailed Technical Specification and Standards required,Specify Inspection and/or tests required and test place
12," Reports Based on above (MS Word, MS Excel, PDF)",12.47 Staff Benefits Reports,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)","12.48 Report on Banking Diploma Passed (1st Part, 2nd Part, Both) period wise.","BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.49 Performance Reports,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.5 Training Related Reports (Foreign and Local and special report for AGM to MD's Foreign Training including cost),"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)","12.51 Employee Report (Based on Permanent, Regular, HR contract, Contractual, On probation, Casual, Third Party etc.)","BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.52 Report on Employee Religion wise,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.53 Report on Branch Representative of BDBL for Bangladesh Bank,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.54 Report on Deputed Employee,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.55 Report on Employee from other institute,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.56 Report on Employee Gender wise,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)","12.57 Report on Gender Diversity among Board Members (No. of Male Members, No. of Female Members)","BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.58 Report on Gender Diversity among permanent employees,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)","12.59 (Entry Level: Male & Female, Mid-Level: Male & Female, Senior Management: Male & Female)","BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)","12.6 Report on Special Criteria (Accountant ,MBA, Financial Analyst, Lawyer, IT, Engineer, Economist etc) basis","BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)","12.61 Report on Changes in the top Management during FY (specific), if any, Joined & Separated (AGM and Above)","BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.62 Report on MANCOM Member,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.63 Report on Senior Management,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)","12.64 List of Departmental Heads with designation, the tenure as the head of the department & responsibilities (year wise)","BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.65 Employee Group according to Blood Group,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.66 Employee Group according to Division and Department,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.67 Employee Group according to Branch,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.68 Employee Group according to Area and Zone,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.69 Employee Academic Qualifications Wise,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.7 Employee Category ( GPF/CPF),"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.71 Pension Facility (100 Percent /50 Percent),"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.72 Employee Experience: ,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.73 (1) at other Bank + (2) at Other + (3) at BDBL (4) Non-Banking Financial Organization and (5) Total wise,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.74 Comparison report between existing manpower and required manpower as per organogram,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.75 Report on Notice pay recovered (Resignation),"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.76 Report on Notice pay paid (Termination),"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)","12.77 Attendance Reports (Employee (individual), Division & Department wise) date from date to","BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.78 Report of Fraud Forgery (as required by Bangladesh Bank),"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.79 Employee Profile/Fact Sheet etc.,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.8 Voucher for Salaries,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.81 Salary Sheet,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.82 Loan Report,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.83 PF report,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.84 Tax report,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.85 Salary Certificate,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.86 Last Pay Certificate,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.87 Pay Slip (individual),"BDBL, Head Office"
13,Usability and Compatability, (Please provide details in for each item under Response),"BDBL, Head Office"
13,Usability and Compatability,"13.1 The System should offer a web-based interface for user log in and having option for multiple user creation management, Users' Role management against privileges with option to create User Group for the privileges as required, password management as per Bank’s defined password policy, manage user level permission to control such as view, add, edit and cancel.","BDBL, Head Office"
13,Usability and Compatability,13.2 The system should have error logging mechanism with time stamp.,"BDBL, Head Office"
13,Usability and Compatability,13.3 The system should allow to handle exceptions and provide options to allow exceptions for higher level users. ,"BDBL, Head Office"
13,Usability and Compatability,13.4 The system should be scalable in capacity and performance.,"BDBL, Head Office"
13,Usability and Compatability,"13.5 The system should have capability to generate Alerts and Exception Lists, either at detailed or summary level, into a recognizable and easily readable format. (i.e.  Excel or Word or PDF).","BDBL, Head Office"
13,Usability and Compatability,13.6 The system should have option to automatically generate Alerts or Exceptions if a request remained unattended for a specified time. The specified time to be maintained by admin and will be different for each task.,"BDBL, Head Office"
13,Usability and Compatability,13.7 The   system should allow administrators to amend the workflow for management.,"BDBL, Head Office"
13,Usability and Compatability,13.8 The system should have capability to export Alert through email / SMS as required with option to configure by ADMIN ,"BDBL, Head Office"
13,Usability and Compatability,13.9 The system should have the ability to restrict access to functions based on different users/user groups/jurisdictions/locations.,"BDBL, Head Office"
13,Usability and Compatability,13.1 The   system should have the ability to restrict access to data for different users/user groups/jurisdictions/ locations.,"BDBL, Head Office"
13,Usability and Compatability,13.11 The system should not allow multiple logins by same user from different user terminals or different browsers at the same time.,"BDBL, Head Office"
13,Usability and Compatability,13.12 The system should have access control integration with Windows Server Active Directory and Privilege Access Management System.,"BDBL, Head Office"
13,Usability and Compatability,13.13 The system should have arrangement to maintain system log to a syslog or SIEM. ,"BDBL, Head Office"
13,Usability and Compatability,13.14 The system provider should preferably submit Vulnerability Assessment and Penetration Test report on the system assessed and endorsed by a third party organization. ,"BDBL, Head Office"
13,Usability and Compatability,13.15 The system must have own API for integration with another software and must have provision to integrate with other system using third part API.,"BDBL, Head Office"
13,Usability and Compatability,"13.16 The system must have option to provide user management facility to supervisor users to monitor users with logged-in users’ status, user records of log-in and log out .","BDBL, Head Office"
13,Usability and Compatability,"13.17 The system must have provision so that a user can only see a certain data as allowed by a supervisor or allowed to user groups. Functions can be turned on and off for individual users/supervisors. Besides, functions and tabs Unavailable for a user should not be visible in the screens and drop-down menus and screen timeout/lockout should be activated when user remain inactive for a certain period of time.","BDBL, Head Office"
13,Usability and Compatability,13.18 The system should provide API for enquiries from external systems and allow both import and export of information from third party software. The system should support API integration with other systems for both way integration.,"BDBL, Head Office"
13,Usability and Compatability,13.19 The system should have option to integration with different data sources and systems using API (own API and third party API).,"BDBL, Head Office"
13,Usability and Compatability,13.2 The system should be able to share information with other systems through API (own API and third party API).,"BDBL, Head Office"
13,Usability and Compatability,13.21 The system should support real-time information or messages through Dash Board configurable as per User Privilege and Requirements.,"BDBL, Head Office"
13,Usability and Compatability,13.22 The product should provide analytical management reports and provide tools to prepare dynamic report as per requirements on different scenario.,"BDBL, Head Office"
13,Usability and Compatability,"13.23 The system should support creation of user defined/ tailor made reports for pattern analysis for various parameters like leave, salary, expenses, etc. in various periods as required in an easy manner.","BDBL, Head Office"
14,Annexure ,14.1 The application should display the index page as the default page where the user should be prompted for their log-in credentials.,"BDBL, Head Office"
14,Annexure ,14.2 Upon initial or first instance of requesting the application the user should be forced to select their password.,"BDBL, Head Office"
14,Annexure ,14.3  A script on the server (or perhaps functionality of the server itself) should verify the complexity of the password against an internal engine - whether it be a script or something more intuitive.,"BDBL, Head Office"
14,Annexure ,"14.4 Never should an administrator or other privileged user have direct visible access to the user's credentials at this stage of user credential initialization; passwords should be stored in a one-way, irreversible format. The preferable algorithm to store passwords is SHA256.  A facility should exist for a password reset rather than administrative access to the password itself. ","BDBL, Head Office"
14,Annexure ,14.5 A user should not be able to proceed into the application until a new password has been selected and the user has successfully logged in with a new password.,"BDBL, Head Office"
14,Annexure ,"14.6 Accessing any page within the application, either served directly from the application server or database server by directly entering the URL into the browser address bar without correct log-in into the application should display the index page as default where the user should be prompted for their log-in credentials.  For instance, a user should not be able to subvert or bypass the system or application user authentication controls by constructing syntax .","BDBL, Head Office"
14,Annexure ,"14.7 When the user session expires and the user attempts to perform any other action, i.e., navigating to another page, the application should display the index page as default where the user should be prompted for their log-in credentials.","BDBL, Head Office"
14,Annexure ,14.8 Under no circumstance should the application output a legitimate user account name for a session that has been timed out but rather serve the index page as default where a standard request should be displayed for user name and password credentials for authenticating to the application.,"BDBL, Head Office"
14,Annexure ,"14.9 In the event, the user ID and/or password sent in the HTTPS request is empty, the application should but rather serve the index page as default where a standard request should be displayed for user name and password credentials for authenticating to the application.","BDBL, Head Office"
14,Annexure ,"14.1 The application should submit or ""broker"" user credentials to the server or database - depending upon the access request - against the user ID and password in the user tables held on the server or database.","BDBL, Head Office"
14,Annexure ,"14.11 If the system does not find any records matching the given user ID and password combination, the user should be redirected to the login page with a generic message stating that the credentials are invalid.","BDBL, Head Office"
14,Annexure ,"14.12 If the system finds that the correct user ID is issued but the password issued does not match the password in the user information table, the user should be redirected to the login page with a message stating that the user ID or password is invalid.  Internally a script should run against the invalid log-in attempt where it should increment the user's invalid log-in attempt by one.  Internally the system should increment the ""Invalid log-in tries count"" against the user ID by one.  If the user log-in count exceeds three with a false result on the third try, the user should be locked from the system before the user can again gain access the system. However, Admin should have option to manage the number of allowable ""Invalid log-in tries count"" from three or above.","BDBL, Head Office"
14,Annexure ,14.13 The application should not output information to the user as to whether either the user ID or password is invalid but rather inform the user the credentials supplied are invalid.,"BDBL, Head Office"
14,Annexure ,"14.14 If the user ID and password supplied are correct, the system should check the user's logged in status.  This is to ensure concurrent user sessions are not allowed.  The system should then check to determine whether the user ID has been locked.  If the system finds the user's locked status is true, then it should redirect the user to the login page with an appropriate message stating the user ID was locked and the user should contact the administrator of the system to unlock the user ID.","BDBL, Head Office"
14,Annexure ,"14.15 Concurrently, the system should perform velocity checking against the IP address of the last known valid log-in to ensure the user’s login from approved geographical area.","BDBL, Head Office"
14,Annexure ,14.16 The web application must reject passwords that are the same as the user ID.,"BDBL, Head Office"
14,Annexure ,"14.17 The web application must perform input validation on the value provided by the user for the login.  Should validation not successfully transpire, it may be possible for the user to 'inject' malicious code form the web application directly to the database, server or user's browser thus subverting logical security controls at both the client and server side.","BDBL, Head Office"
14,Annexure ,"14.18 If all of the above validations occur, the system should check the users logged in status.  If the system finds that the users logged in status is true, it should redirect the user to the login page stating that the user is currently logged in to the system with that user ID from another IP.  Hence the user should not be allowed to log-in to the web application.  The web application should output static information to the user advising a method of contact, if the user feels an error has occurred or other.  The information should be displayed on the screen/page for that user's session.","BDBL, Head Office"
14,Annexure ,"14.19 If all the above validations occur, the system should update the users logged in status and the users last logged in time.  There is no requirement for the user to receive information relevant to the user's valid log-in and time.","BDBL, Head Office"
14,Annexure ,"14.2 Authentication credentials such as passwords are required to be encrypted.  Similarly, any information relating to the user should be passed over a SSL/HTTPS session.  The configuration of the web application software must be such that the encryption settings are activated for the relevant data, i.e., server must be configured to understand which pages must generate a SSL/HTTPS session.","BDBL, Head Office"
14,Annexure ,14.21 The data encryption controls on the server or database must ensure that functionality does not lessen the security of the data.,"BDBL, Head Office"
14,Annexure ,14.22 The web application must authenticate each and every session and enforce validation at both the client and server side.  This is so that the application prompts the user for their credentials when opening a second session when one is already active or to have such controls in place to ensure that concurrency is disallowed.,"BDBL, Head Office"
14,Annexure ,"14.23 the user's session held by the browser, credentials provided to the user by the web application must be not cached in  the browser.","BDBL, Head Office"
14,Annexure ,14.24 Certificate to be provided  on Security Assessment report conducted by acceptable third party.,"BDBL, Head Office"
15,Security, (Please provide details in for each item under Response),"BDBL, Head Office"
15,Security,"15.1 The system should have the ability to show a full audit trail of changes with time stamp with information of the user who made the change, the date and time modified, the fields modified and the old and new values. The system should have the ability to restrict access to data for different Users /User Groups/Other Jurisdictions. The system should have the following options -","BDBL, Head Office"
15,Security,15.2 General Application Security,"BDBL, Head Office"
15,Security,15.2.1  URL binding and validation for authentication and authorization regarding server-server and server-client data transfer.,"BDBL, Head Office"
15,Security,15.2.2 Use of SFTP and HTTPS for server-server and server-client data communication. ,"BDBL, Head Office"
15,Security,15.2.3 IP binding and validation for communication with user end and other software entities.,"BDBL, Head Office"
15,Security,15.2.4 Object Level Audit Signature for all entries in system relevant database and application level.,"BDBL, Head Office"
15,Security,15.2.5 Temporary user suspension after maximum (configurable by admin) failed attempt for access.,"BDBL, Head Office"
15,Security,15.2.6 Access Control integration with Windows Server Active Directory and Privilege Access Management Solution and option for Single Sign-On.,"BDBL, Head Office"
15,Security,15.2.7 Double layer validation process (2FA) for user authentication with dynamic OTP and also third party solution.,"BDBL, Head Office"
15,Security,15.2.8  SSL certification of URL.,"BDBL, Head Office"
15,Security,15.2.9 Separate Application Server for internal and external Users ,"BDBL, Head Office"
15,Security,15.2.10 Redundancy of Application Server in DC / NDC / DRS.,"BDBL, Head Office"
15,Security,15.2.11 The system must have scope for the following through various data backup systems,"BDBL, Head Office"
15,Security,15.3 Data Security ,"BDBL, Head Office"
15,Security,15.3.1 Incremental Backup,"BDBL, Head Office"
15,Security,15.3.2 Redundant DB Server,"BDBL, Head Office"
15,Security,"15.3.3 Besides, the system must have highest level of controls to mitigate following risks:","BDBL, Head Office"
15,Security,"15.3.4 Injection attack, such as SQL, OS, XXE, and LDAP injection","BDBL, Head Office"
15,Security,15.3.5 Broken Authentication and Session Management,"BDBL, Head Office"
15,Security,15.3.6 Cross-Site Scripting (XSS),"BDBL, Head Office"
15,Security,15.3.7 Broken Access Control ,"BDBL, Head Office"
15,Security,15.3.8 Cross-Site Request Forgery (CSRF),"BDBL, Head Office"
15,Security,15.3.9 The system must ensure there is no vulnerability as below for API -,"BDBL, Head Office"
15,Security,15.4 API Accessibility : ,"BDBL, Head Office"
15,Security,15.4.1 Broken Object Level Authorization,"BDBL, Head Office"
15,Security,15.4.2 Broken Authentication,"BDBL, Head Office"
15,Security,15.4.3 Excessive Data Exposure,"BDBL, Head Office"
15,Security,15.4.4 Lack of Resources & Rate Limiting,"BDBL, Head Office"
15,Security,15.4.5 Broken Function Level Authorization,"BDBL, Head Office"
15,Security,15.4.6 Mass Assignment,"BDBL, Head Office"
15,Security,15.4.7 Security Misconfiguration,"BDBL, Head Office"
15,Security,15.4.8 Unauthorized Data Injection,"BDBL, Head Office"
15,Security,15.4.9 Improper Assets Management,"BDBL, Head Office"
15,Security,15.4.10 Insufficient Logging & Monitoring,"BDBL, Head Office"
15,Security,15.5 Server Security,"BDBL, Head Office"
15,Security,15.5.1 Server should be Preferably Linux OS based,"BDBL, Head Office"
15,Security,15.5.2 Server should be configured in such a way that only necessary ports would be open. Other ports would be closed.,"BDBL, Head Office"
15,Security,15.5.3 Root login should be disabled and configure for only specific users.,"BDBL, Head Office"
15,Security,15.5.4 Automatic patch update should be enabled in the system.,"BDBL, Head Office"
15,Security,15.5.5 Restrict users to use old passwords,"BDBL, Head Office"
15,Security,15.5.6 Password policy of BDBL shall be deployed,"BDBL, Head Office"
15,Security,15.5.7 Web Server must be upgradable automatically. ,"BDBL, Head Office"
15,Security,"15.5.8 For Digital Certificate security, only TLS v 1.2 shall be allowed. ","BDBL, Head Office"
15,Security,15.5.9 Weak ciphers must not be used.,"BDBL, Head Office"
15,Security,15.5.10 Appropriate Access Control Policy shall be implemented.,"BDBL, Head Office"
16,Data Migration from Existing System,"Data migration from existing System ( From Existing Personal Information Database, PF, Payroll, Excel Sheet/CSV etc.).","BDBL, Head Office"
17,Archiving facilities,"17.1 Division, Department and Branch wise Important Circulars, Policies, Report, Legal Documents etc. Access for Employees","BDBL, Head Office"
17,Archiving facilities,17.2 Employee Signature Database : Important material will be archived and available based on options of archive (i.e. available only for Division/ Department / Brach Employees or for all employees),"BDBL, Head Office"
18,Warranty,"3 years after installation, commissioning and testing of all modules.","BDBL, Head Office"
19,Annual Maintenance Contract,"19.1 After warranty period a separate Annual Contract Agreement will be signed for 4th,5th and 6th year. Mention the year wise AMC price in percentage (%) of total software price in separate sheet.","BDBL, Head Office"
19,Annual Maintenance Contract,"19.2 Supplier of the software have to consider BDBL policy while designing  modules. During AMC they have to prepare various report, make changes in the module, as per the instruction of the regulatory authority .If needed they have to add /design new module for satisfying requirements. These job will have to done within the AMC remuneration.","BDBL, Head Office"
19,Annual Maintenance Contract,19.3 Topics to be included in the Annual Maintenance Contract (AMC):,"BDBL, Head Office"
19,Annual Maintenance Contract,19.3.1 The vendor will replace correct the software bug within 24 hours of reporting of the problem. The vendor will attend the problem with 2 hours of reporting.,"BDBL, Head Office"
19,Annual Maintenance Contract,19.3.2  Protection offered by the vendor in the event of withdrawal or discontinuation of any software module from the market.,"BDBL, Head Office"
19,Annual Maintenance Contract,19.3.3 List of responsibilities and tasks that the vendor and the Bank will perform,"BDBL, Head Office"
19,Annual Maintenance Contract,19.3.4 Termination clause of the contract.,"BDBL, Head Office"
19,Annual Maintenance Contract,19.3.5 Penalty clause,"BDBL, Head Office"
19,Annual Maintenance Contract,19.3.6 All the term and condition mentioned by Bangladesh Bank in its current ICT security guideline. ,"BDBL, Head Office"
19,Annual Maintenance Contract,"19.3.7 Supplier of the software have to consider BDBL policy while designing  modules. During AMC they have to prepare/modify various report, make changes in the module, as per the instruction of the regulatory authority .If needed they have to add /design new module for satisfying requirements. These job will have to done within the AMC. No additional fee/charge/cost will be paid for these jobs.","BDBL, Head Office"
20,Training,Hands on  training  should provide for admin and normal users. ,"BDBL, Head Office"
